지역,날짜,총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명)
부산,2016. 03,39742,41040,-1298,11659,16087,16087,11996,13294
부산,2016. 04,36072,37103,-1031,11452,14850,14850,9770,10801
부산,2016. 05,37470,39189,-1719,12539,15768,15768,9163,10882
부산,2016. 06,36668,38781,-2113,12744,15201,15201,8723,10836
부산,2016. 07,32635,34565,-1930,10674,14010,14010,7951,9881
부산,2016. 08,38613,40144,-1531,12103,16161,16161,10349,11880
부산,2016. 09,32336,34284,-1948,10766,13602,13602,7968,9916
부산,2016. 10,38232,40719,-2487,13801,16118,16118,8313,10800
부산,2016. 11,40842,43346,-2504,15007,17086,17086,8749,11253
부산,2016. 12,42053,45476,-3423,13788,17895,17895,10370,13793
부산,2017. 01,37605,39613,-2008,11298,15973,15973,10334,12342
부산,2017. 02,48737,50027,-1290,13258,20507,20507,14972,16262
부산,2017. 03,39566,41622,-2056,12096,15769,15769,11701,13757
부산,2017. 04,34002,35946,-1944,11253,14384,14384,8365,10309
부산,2017. 05,36958,39318,-2360,12512,15498,15498,8948,11308
부산,2017. 06,34064,36628,-2564,11427,14038,14038,8599,11163
부산,2017. 07,35266,37237,-1971,11518,14764,14764,8984,10955
부산,2017. 08,40356,41103,-747,12126,16020,16020,12210,12957
부산,2017. 09,34958,36416,-1458,11187,14126,14126,9645,11103
부산,2017. 10,29670,34419,-4749,10072,12967,12967,6631,11380
부산,2017. 11,33845,37390,-3545,11482,14320,14320,8043,11588
부산,2017. 12,34046,37752,-3706,10845,14166,14166,9035,12741
부산,2018. 01,35923,38872,-2949,10165,14851,14851,10907,13856
부산,2018. 02,39119,40397,-1278,10459,15891,15891,12769,14047
부산,2018. 03,42516,44725,-2209,13161,17791,17791,11564,13773
부산,2018. 04,34794,37164,-2370,11840,14538,14538,8416,10786
부산,2018. 05,37839,40348,-2509,13226,16279,16279,8334,10843
부산,2018. 06,31839,34332,-2493,10492,13950,13950,7397,9890
부산,2018. 07,33669,36040,-2371,11119,14563,14563,7987,10358
부산,2018. 08,33825,35865,-2040,10141,14686,14686,8998,11038
부산,2018. 09,25264,26627,-1363,7723,10993,10993,6548,7911
부산,2018. 10,35078,37450,-2372,11772,15188,15188,8118,10490
부산,2018. 11,32578,34612,-2034,10503,14430,14430,7645,9679
부산,2018. 12,33651,36422,-2771,9939,15012,15012,8700,11471
부산,2019. 01,36919,39477,-2558,10307,15837,15837,10775,13333
부산,2019. 02,40717,42394,-1677,10389,16673,16673,13655,15332
부산,2019. 03,36425,38345,-1920,10605,15203,15203,10617,12537
부산,2019. 04,34980,37090,-2110,11393,15072,15072,8515,10625
부산,2019. 05,33041,34874,-1833,10879,13786,13786,8376,10209
부산,2019. 06,28661,30417,-1756,8926,12815,12815,6920,8676
부산,2019. 07,30839,32763,-1924,9591,13195,13195,8053,9977
부산,2019. 08,33338,35235,-1897,10061,14804,14804,8473,10370
부산,2019. 09,29878,31268,-1390,9087,13130,13130,7661,9051
부산,2019. 10,33781,36011,-2230,10896,15103,15103,7782,10012
부산,2019. 11,34356,36038,-1682,11773,14529,14529,8054,9736
부산,2019. 12,38769,41146,-2377,11769,16287,16287,10713,13090
부산,2020. 01,39722,41100,-1378,11284,16865,16865,11573,12951
부산,2020. 02,49369,49592,-223,13871,20669,20669,14829,15052
부산,2020. 03,47666,48065,-399,13717,20240,20240,13709,14108
부산,2020. 04,41008,41966,-958,14082,17187,17187,9739,10697
부산,2020. 05,34761,35680,-919,11218,14934,14934,8609,9528
부산,2020. 06,36788,38688,-1900,11947,16039,16039,8802,10702
부산,2020. 07,36602,37691,-1089,12148,15696,15696,8758,9847
부산,2020. 08,40469,41728,-1259,12842,18309,18309,9318,10577
부산,2020. 09,38650,39572,-922,12866,17247,17247,8537,9459
부산,2020. 10,38388,39716,-1328,13008,17459,17459,7921,9249
부산,2020. 11,40683,42017,-1334,13453,18623,18623,8607,9941
부산,2020. 12,47723,50361,-2638,15331,21256,21256,11136,13774
부산,2021. 01,42765,44537,-1772,12954,18602,18602,11209,12981
부산,2021. 02,44676,45650,-974,12807,18280,18280,13589,14563
부산,2021. 03,42381,44336,-1955,12562,17356,17356,12463,14418
대구,2010. 01,29281,29373,-92,9618,10460,10460,9203,9295
대구,2010. 02,36912,37575,-663,12281,13358,13358,11273,11936
대구,2010. 03,38659,41280,-2621,14768,13650,13650,10241,12862
대구,2010. 04,31423,33436,-2013,12638,11325,11325,7460,9473
